0,30,2
0,34,1
0,64,1
0,68,2
0,76,1
0,77,1
0,93,1
0,141,1
0,148,3
0,188,2
0,190,5
0,313,4
0,357,1
0,381,1
0,423,1
0,477,1
0,538,10
0,559,1
0,623,1
0,625,4
0,668,1
0,724,1
0,781,1
0,790,1
0,849,4
0,852,1
0,894,1
0,1027,3
0,1030,1
0,1076,1
0,1094,6
0,1127,1
0,1139,2
0,1290,1
0,1360,1
0,1451,13
0,1718,5
0,1762,1
0,1826,2
0,1952,1
0,1974,1
0,2210,1
0,2282,1
0,2283,1
0,2388,1
0,2412,1
0,2515,1
0,2694,1
0,2821,1
0,2985,1
0,3061,1
0,3157,1
0,3397,1
0,3674,1
0,3995,1
0,4423,1
0,5867,1
0,6009,1
1,10,1
1,23,1
1,70,2
1,71,1
1,76,2
1,117,3
1,208,24
1,211,16
1,233,5
1,292,1
1,381,1
1,387,2
1,399,7
1,417,1
1,475,1
1,503,1
1,657,1
1,670,1
1,682,1
1,788,1
1,795,1
1,844,1
1,991,1
1,1059,1
1,1145,1
1,1160,1
1,1526,1
1,1555,1
1,1762,1
1,1782,1
1,1887,2
1,1906,1
1,1939,3
1,1945,1
1,1979,1
1,2012,4
1,2063,1
1,2292,1
1,2314,1
1,2376,1
1,2741,2
1,3129,1
1,3141,2
1,3272,1
1,3522,2
1,3553,1
1,3784,2
1,3949,2
1,3992,1
1,4029,3
1,4452,1
1,4456,1
1,4724,1
1,4959,1
1,5161,1
1,5586,1
1,5629,1
1,5746,1
1,5950,1
1,6132,1
1,6192,1
1,6232,1
1,7171,7
2,5,1
2,6,10
2,9,2
2,13,1
2,22,1
2,27,1
2,65,1
2,70,1
2,71,1
2,74,1
2,76,1
2,102,2
2,120,1
2,122,1
2,130,1
2,144,1
2,162,1
2,168,1
2,171,1
2,193,1
2,229,1
2,231,1
2,233,4
2,237,1
2,238,1
2,272,1
2,291,1
2,306,1
2,308,1
2,318,1
2,320,1
2,322,1
2,326,1
2,342,1
2,345,1
2,346,2
2,362,1
2,371,1
2,380,1
2,389,1
2,404,1
2,406,1
2,417,2
2,419,1
2,490,1
2,504,1
2,547,1
2,548,1
2,551,1
2,556,1
2,560,1
2,561,1
2,563,1
2,564,1
2,566,1
2,568,1
2,569,1
2,570,1
2,571,1
2,572,2
2,573,1
2,574,1
2,575,1
2,577,1
2,578,16
2,585,1
2,587,1
2,591,3
2,592,1
2,593,1
2,594,1
2,612,1
2,613,1
2,615,1
2,623,1
2,624,1
2,635,1
2,644,1
2,645,1
2,657,1
2,658,1
2,659,1
2,660,1
2,661,1
2,662,1
2,663,1
2,664,1
2,665,1
2,666,1
2,667,1
2,668,1
2,669,1
2,670,1
2,671,1
2,672,1
2,673,1
2,674,1
2,675,1
2,676,1
2,677,1
2,678,1
2,679,1
2,680,2
2,681,1
2,682,1
2,683,1
2,684,1
